quantile, ccyy, threshold, hc, hceduc, hcmed
48, pe10, 12303, 16860.038, 751.14151, 1007.5849
49, pe10, 12607, 17121.081, 841.58294, 1490.2701
50, pe10, 12918, 16514.313, 627.35047, 1071.8458
51, pe10, 13272, 17938.75, 757.78774, 1150.9434
52, pe10, 13578, 17431.915, 718.02844, 1262.8341
53, pe10, 13946, 18203.612, 909.70561, 1121.4299
54, pe10, 14274, 19372.351, 987.64929, 1316.6777
55, pe10, 14657, 18473.821, 888.75472, 1298.217
56, pe10, 15048, 18332.533, 857.34434, 1450.3208
57, pe10, 15465, 19114.901, 985.69014, 1488.6573
58, pe10, 15825, 19639.689, 832.57547, 1442.4292
59, pe10, 16228, 19084.486, 970.34906, 1261.3208
60, pe10, 16673, 20540.606, 1001.9014, 1352.9061
61, pe10, 17184, 20822.755, 1052.6934, 1464.5236
62, pe10, 17664, 21338.071, 1053.8019, 1590.7547
63, pe10, 18132, 21154.377, 1125.4198, 1427.3019
64, pe10, 18564, 21981.057, 1002.5377, 1413.684
65, pe10, 19067, 22788.967, 1141.9812, 1587.1549
66, pe10, 19555, 23347.929, 1104.9906, 1500.75
67, pe10, 20103, 22490.434, 1200.1745, 1516.1981
68, pe10, 20589, 24469.239, 1634.385, 1524.3239
69, pe10, 21115, 22736.547, 1205.3491, 1658.7028
70, pe10, 21622, 23543.594, 1208.4198, 1670.4575
71, pe10, 22192, 23593.887, 1054.662, 1562
72, pe10, 22793, 24608.967, 1254.184, 1708.1651
73, pe10, 23427, 25021.141, 1189.7887, 1996.939
74, pe10, 24015, 25480.972, 1306.6066, 1875.5829
75, pe10, 24689.5, 26035.505, 1348.8208, 1889.5472
76, pe10, 25358, 27121.657, 1627.2911, 2192.7793
77, pe10, 26002, 28051.319, 1562.5399, 2164.5634
78, pe10, 26971, 27776.469, 1469.218, 2266.7393
79, pe10, 27819, 27859.554, 1651.1502, 2321.6432
80, pe10, 28716, 28407.217, 1779.6321, 2382.0283
81, pe10, 29663, 29828.646, 1611.0236, 2250.967
82, pe10, 30595, 29627.66, 1578.3538, 2482.5094
83, pe10, 31762, 29389.793, 1682.8357, 1869.6995
84, pe10, 32897, 32334.382, 1846.9811, 2438.3868
85, pe10, 34082, 31993.288, 1693.5047, 2501.5472
86, pe10, 35428, 33086.268, 1782.6197, 2574.7981
87, pe10, 36752, 32628.057, 2050.9245, 2377.2547
88, pe10, 38296, 33970.717, 2345.3821, 2702.9057
89, pe10, 39939, 36864.892, 2535.6651, 3309.1179
90, pe10, 42000, 34550.304, 2056.4813, 2641.0981
91, pe10, 44153, 39389.948, 2718.6114, 3118.9763
92, pe10, 46421, 39386.764, 2485.2406, 3160.4009
93, pe10, 49186, 40221.526, 2903.4085, 4019.338
94, pe10, 52194, 40331.132, 2651.0094, 3455.533
95, pe10, 56357, 43404.835, 3161.2877, 3452.6651
96, pe10, 62213, 45053.292, 3057.7075, 3877.4104
97, pe10, 69358, 47967.737, 3632.23, 3484.3146
98, pe10, 80549, 55559.858, 4084.4009, 6213.1085
99, pe10, 103403, 56834.406, 4215.1321, 4979.1132
100, pe10, ., 73829.09, 6578.2311, 8500.7311
1, rs10, 4963, 610332.27, 7139.1304, 20445.63
2, rs10, 60000, 400023.61, 2666.6667, 15629.196
3, rs10, 86318, 342061.06, 68.292683, 14746.341
4, rs10, 100800, 335599.1, 2382.9787, 13723.404
5, rs10, 114000, 235201.66, 0, 12750
6, rs10, 124800, 350630.03, 3134.8837, 18379.209
7, rs10, 133471, 269310.37, 88.888889, 12083.578
8, rs10, 144000, 263023.87, 15.151515, 11224.848
9, rs10, 148934, 304995.24, 0, 11915.385
10, rs10, 156132, 282282.63, 86.956522, 16613.043
11, rs10, 166578, 275422.77, 62.222222, 15248.889
12, rs10, 175870, 276631.07, 0, 19539.5
13, rs10, 180000, 397156.14, 442.59259, 15484.444
14, rs10, 188076, 343479.64, 10.526316, 16926.316
15, rs10, 192000, 316692.6, 652.17391, 16162.609
16, rs10, 199129, 386269.6, 35.555556, 15670.222
17, rs10, 204000, 347526.96, 0, 15942.041
18, rs10, 214400, 390254.05, 46.511628, 26819.907
19, rs10, 216000, 366308.78, 0, 15985.792
20, rs10, 224104, 344266.13, 409.09091, 16633.636
21, rs10, 233572, 385327.37, 104.34783, 13444.978
22, rs10, 240000, 424826.79, 1828.2828, 13289.697
23, rs10, 240000, ., ., .
24, rs10, 247200, 467022.56, 3368.4211, 19810.526
25, rs10, 252000, 436864.09, 782.6087, 15062.957
26, rs10, 262008, 354688.66, 695.65217, 16322.609
27, rs10, 264000, 440068.81, 0, 24415
28, rs10, 270524, 394712.15, 0, 18097.561
29, rs10, 278400, 437171.87, 110.6383, 27072.766
30, rs10, 285738, 465012.37, 1706.6667, 15871.111
31, rs10, 292506, 487203.9, 608.69565, 21386.087
32, rs10, 300000, 475072.57, 1905.8824, 14648
33, rs10, 301811, 417659.5, 400, 16933.333
34, rs10, 312000, 483102.49, 237.28814, 20347.169
35, rs10, 321791, 418336.8, 0, 12281.212
36, rs10, 332780, 457976.16, 2608.6957, 20808.696
37, rs10, 342000, 539370, 622.22222, 21585.778
38, rs10, 351831, 442479.87, 1607.8261, 19521.739
39, rs10, 360000, 525418.15, 3872.1649, 15936.907
40, rs10, 360000, ., ., .
41, rs10, 368008, 521867.24, 1151.2195, 21840.488
42, rs10, 375828, 595448.98, 608.69565, 19397.391
43, rs10, 384000, 528610.43, 5508.1967, 15379.672
44, rs10, 389382, 445935.75, 0, 21509.2
45, rs10, 397680, 566611.5, 1874.7826, 26186.087
46, rs10, 408000, 517999.23, 2573.5849, 17855.849
47, rs10, 416143, 460046.91, 19487.179, 20127.179
48, rs10, 422433, 579427.51, 7813.3333, 16080
49, rs10, 432000, 576980.5, 4606.7797, 23200
50, rs10, 442308, 601770.18, 884.84848, 13870.303
51, rs10, 454792, 627909.16, 2539.1304, 23267.826
52, rs10, 457176, 623910.21, 2608.6957, 13887.826
53, rs10, 468000, 549014.27, 227.58621, 24637.931
54, rs10, 478073, 679165.78, 848.48485, 21921.212
55, rs10, 480000, 664906.69, 3000, 16864.706
56, rs10, 486000, 627066.89, 428.57143, 17184.286
57, rs10, 494400, 550522.4, 952.38095, 16597.143
58, rs10, 504000, 616262.51, 1726.3158, 22624.561
59, rs10, 513000, 696897.07, 6799.4118, 23881.412
60, rs10, 528000, 634937.63, 7292.3077, 22800.615
61, rs10, 534680, 712302.77, 4444.4444, 34142.222
62, rs10, 540000, 672950.51, 1142.8571, 21701.224
63, rs10, 552000, 601448.33, 1132.0755, 20978.113
64, rs10, 564000, 710075.64, 1526.3158, 23942.105
65, rs10, 576000, 745111.04, 9703.7037, 20061.481
66, rs10, 588000, 735183.07, 914.28571, 31297.629
67, rs10, 600000, 809923.47, 7166.0274, 24480
68, rs10, 609600, 719091, 6590.4762, 25523.81
69, rs10, 623271, 690218.26, 5106.9767, 18130.233
70, rs10, 631314, 776237.54, 11391.304, 33346.087
71, rs10, 645600, 788128.72, 3868.0851, 26838.298
72, rs10, 660000, 726967.76, 5330.5556, 16933.333
73, rs10, 672000, 876278.4, 18786.667, 29786.667
74, rs10, 685183, 715263.1, 7647.0588, 20951.294
75, rs10, 701959, 801562.55, 7565.2174, 28315.652
76, rs10, 719680, 791425.95, 13869.565, 26946.087
77, rs10, 724964, 894257.84, 16852.174, 26843.478
78, rs10, 742611, 844657.17, 10106.087, 23752.174
79, rs10, 754400, 827931.2, 4711.1111, 19763.556
80, rs10, 768000, 802595.23, 7429.1667, 19591.792
81, rs10, 781946, 874713.46, 2909.0909, 22245.455
82, rs10, 804000, 825092.65, 3804.1667, 18757.5
83, rs10, 828000, 885952.2, 5460.8696, 32407.826
84, rs10, 848851, 862843.49, 24863.636, 18335.455
85, rs10, 878111, 765650.55, 10400, 20538.667
86, rs10, 900000, 991247.81, 6528.3019, 28708.679
87, rs10, 923046, 1075513, 10307.692, 39542.564
88, rs10, 954240, 1065482.3, 4400, 28491.304
89, rs10, 972000, 1051932, 13970.213, 17227.234
90, rs10, 1012800, 983075.05, 11045.455, 36448.182
91, rs10, 1044000, 983677.06, 8489.7959, 24354.286
92, rs10, 1083236, 1004465, 15227.907, 17660.465
93, rs10, 1140000, 1060971, 12571.429, 26459.592
94, rs10, 1200000, 1101061.9, 7666.6667, 18682.963
95, rs10, 1245240, 1092885.9, 8164.7059, 25328.235
96, rs10, 1322275, 979663.9, 3478.2609, 22994.783
97, rs10, 1440000, 1200883.3, 22525.926, 36797.778
98, rs10, 1566863, 1315079.5, 10157.895, 64121.053
99, rs10, 1902000, 1224034.4, 6973.913, 34665.217
100, rs10, ., 1460806.1, 21955.556, 25799.111
1, si10, 1641, 12435.079, 2.675, 209.5
2, si10, 2824, 14856.921, 92.717949, 334.05128
3, si10, 4010, 13748.472, 2.8974359, 549.69231
4, si10, 4978, 9801.3243, 17.589744, 212.84615
5, si10, 5686, 10858.838, .8, 282.425
6, si10, 6113, 9358.3939, 0, 71.051282
7, si10, 6540, 12215.5, 13.615385, 133.69231
8, si10, 6966, 11393.028, 19.205128, 261.05128
9, si10, 7574, 12303.846, 0, 240.9
10, si10, 7906, 12479.795, 19.974359, 312.48718
11, si10, 8478, 12727.441, 64.538462, 338.84615
12, si10, 8810, 12966.167, 8.9487179, 351.53846
13, si10, 9208, 12948.081, 0, 266.55
14, si10, 9618, 12837.351, 0, 188.33333
15, si10, 10001, 16844.778, 112.79487, 272.94872
16, si10, 10329, 16568.595, 55.923077, 247.74359
17, si10, 10824, 16247.026, 96.425, 319.625
18, si10, 11223, 16844.97, 23.512821, 326.64103
19, si10, 11547, 17566.108, 39.948718, 411.66667
20, si10, 11913, 18477.892, 27.769231, 576.25641
21, si10, 12257, 16429.667, 69.85, 217.1
22, si10, 12617, 18572.389, 39.25641, 526.15385
23, si10, 12953, 18302.343, 71.717949, 271.74359
24, si10, 13308, 18166.971, 60.179487, 694.33333
25, si10, 13552.5, 16780.4, 81.769231, 573.41026
26, si10, 13959, 17183.487, 45.15, 382.45
27, si10, 14254, 19511.343, 59.307692, 354.23077
28, si10, 14614, 20126.622, 91.512821, 549.66667
29, si10, 14869, 20335.297, 39.205128, 708.17949
30, si10, 15181, 19155.538, 46.926829, 397.7561
31, si10, 15530, 18093.229, 53.657895, 450.28947
32, si10, 15758, 18354.553, 77.307692, 378.48718
33, si10, 16005, 20530.114, 155.69231, 446.35897
34, si10, 16254, 22142.436, 106.475, 921.4
35, si10, 16647, 20658.314, 28.025641, 359.35897
36, si10, 16946, 19745.744, 34.333333, 587.87179
37, si10, 17275, 19740.026, 259.38462, 365.97436
38, si10, 17585, 21291.368, 122.225, 401.75
39, si10, 17899, 20287.686, 143.76923, 421.23077
40, si10, 18203, 21631.595, 81.512821, 445.30769
41, si10, 18450, 20687.211, 119.51282, 717.17949
42, si10, 18784, 22964.8, 29.325, 366.925
43, si10, 19107, 22857.25, 285.76923, 500.69231
44, si10, 19425, 21674.806, 134.28205, 456.79487
45, si10, 19708, 22823.324, 97.15, 405.925
46, si10, 19999, 22583.658, 149.74359, 384.87179
47, si10, 20309, 23587.622, 168.58974, 642.89744
48, si10, 20622, 22241.757, 126.30769, 281.33333
49, si10, 20987, 22199.361, 110.23077, 405.82051
50, si10, 21302, 25394.6, 327.12821, 658.48718
51, si10, 21602, 24515.308, 121.15, 544.2
52, si10, 21898, 24014.811, 163.94872, 535.07692
53, si10, 22282, 26674.892, 121.12821, 700.35897
54, si10, 22513, 25149.083, 120.94872, 774.79487
55, si10, 22834, 26924.077, 92.125, 398.75
56, si10, 23104, 25671.051, 104.66667, 384.30769
57, si10, 23465, 26327.405, 397.84615, 517.53846
58, si10, 23768, 23325.351, 234.4359, 334.12821
59, si10, 24094, 23298.162, 236.85, 563.825
60, si10, 24402, 24570.692, 168.02564, 545.51282
61, si10, 24821, 25478.711, 329.28205, 623.41026
62, si10, 25198, 28423.474, 383.30769, 268.94872
63, si10, 25693, 27514.775, 143.825, 675.475
64, si10, 26005, 29774.553, 150.4359, 328.97436
65, si10, 26351, 26274.947, 332.10256, 470
66, si10, 26739, 24940.718, 370.76923, 493.66667
67, si10, 27154, 29832.289, 178, 623.575
68, si10, 27525, 26674.611, 396.79487, 453.58974
69, si10, 27912, 28432.297, 311.58974, 430.48718
70, si10, 28294, 26845.105, 240.20513, 634.46154
71, si10, 28832, 29722.564, 229.825, 526.625
72, si10, 29186, 29122.605, 246.41026, 544.89744
73, si10, 29684, 29533.053, 306.4359, 535.35897
74, si10, 30098, 26990.568, 544.69231, 566.05128
75, si10, 30612, 28144.162, 436.79487, 409.61538
76, si10, 31019, 31755.4, 426.35, 603.35
77, si10, 31435, 29529.105, 221.51282, 530.76923
78, si10, 31940, 29954.711, 224.71795, 662.51282
79, si10, 32439, 36388.658, 341.89744, 436.61538
80, si10, 33035, 36802.897, 608.875, 841.1
81, si10, 33731, 33142.528, 254.46154, 610.02564
82, si10, 34383, 31706.838, 426.15385, 600.53846
83, si10, 34954, 34669.895, 545.25641, 619.5641
84, si10, 35572, 31340.718, 146.025, 682.625
85, si10, 36141, 35527.949, 357.30769, 544.30769
86, si10, 36624, 38225.583, 459.69231, 660
87, si10, 37280, 36317.784, 621.15385, 506.87179
88, si10, 38222, 36230.718, 246.275, 617.325
89, si10, 39075, 34426.158, 413.87179, 670.66667
90, si10, 40091, 33332.027, 361.64103, 505.35897
91, si10, 41221, 36737.718, 260.64103, 648.12821
92, si10, 42322, 34728, 452.2, 762.825
93, si10, 43351, 37340.436, 258.66667, 629.38462
94, si10, 44642, 41323.051, 315.74359, 896.10256
95, si10, 46834, 39391.282, 114.30769, 674.92308
96, si10, 49338, 39342.5, 439.75, 843.05
97, si10, 52254, 39373.256, 340.64103, 652.25641
98, si10, 56823, 46581.795, 629, 814.33333
99, si10, 63622, 51570.378, 439.71795, 1316.8462
100, si10, ., 48747.842, 483.41026, 556.12821
1, au10, 2274, 51863.568, 1259.2593, 1628.9012
2, au10, 9858, 42690.011, 178.90323, 915.05376
3, au10, 13143, 31238.738, 57.990654, 906.71963
4, au10, 15163, 34997.794, 141.27103, 2045.4206
5, au10, 16115, 29264.255, 69.179245, 1268.8585
6, au10, 16898, 28279.933, 111.41905, 631.35238
7, au10, 17315, 28351.479, 70.853081, 1072.2464
8, au10, 17367, 28253.52, 27.2, 1048.84
9, au10, 17842, 30738.411, 141.72321, 1041.4286
10, au10, 18045, 28210.279, 25.612745, 1182.0343
11, au10, 18149, 32344.747, 1.04, 934
12, au10, 18563, 32428.874, 8.4033613, 1591.1597
13, au10, 19135, 29723.701, 90.188976, 946.91339
14, au10, 19782, 30549.434, 65.292035, 1136.0442
15, au10, 20447, 31943.192, 481.34167, 1594.25
16, au10, 21225, 34173.198, 13.864865, 757.86486
17, au10, 22164, 33585.702, 252.42105, 823.17544
18, au10, 23182, 35529.569, 118.35294, 767.26471
19, au10, 24041, 34308.76, 297.04, 855.328
20, au10, 24874, 35944.413, 317.50459, 860.09174
21, au10, 25943, 38332.342, 314.79487, 1805.1966
22, au10, 26249, 39414.087, 70.92126, 1308.5039
23, au10, 26791, 41210.496, 197.05983, 1610.4615
24, au10, 27156, 38384.381, 72.320896, 1178.3955
25, au10, 27739.5, 42083.091, 41.090909, 1672.0091
26, au10, 28376, 39579.38, 185.67769, 1358.1157
27, au10, 28915, 42185.588, 356.53782, 1493.3613
28, au10, 29487, 38372.547, 86.752137, 1157.5385
29, au10, 30180, 41677.315, 42.015748, 1436.0472
30, au10, 30900, 45537.064, 187.82727, 1992.2909
31, au10, 31493, 42510.858, 522.29204, 1386.6903
32, au10, 32161, 41988.937, 360.51351, 1599.3333
33, au10, 32839, 40580.348, 165.49565, 1165.8783
34, au10, 33665, 48229.709, 414.47573, 1379.2233
35, au10, 34575, 44478.663, 394.9505, 1223.7426
36, au10, 35234, 41803.394, 445.23232, 1303
37, au10, 36071, 42518.306, 161.25225, 1242.8919
38, au10, 36903, 45068.5, 482.71296, 1443.9722
39, au10, 37798, 45906.755, 236.31818, 1434.7909
40, au10, 38715, 44439.844, 1072.0826, 1735.1101
41, au10, 39543, 47453.664, 1077.6273, 1530.4
42, au10, 40355, 47135.489, 205.37234, 1294.7553
43, au10, 41223, 48805.452, 1344.1828, 1304.7527
44, au10, 42120, 48182.813, 453.61458, 1949.1354
45, au10, 43111, 48049.057, 618.93333, 1355.1143
46, au10, 44267, 51005.721, 360.10577, 1077.9904
47, au10, 45341, 47252.31, 279.7, 1327.9
48, au10, 46204, 47905.011, 742.72727, 1438.5227
49, au10, 47306, 54943.937, 376.75789, 2396.3263
50, au10, 48375, 52252.976, 212.86905, 1545.0833
51, au10, 49492, 53895.244, 1329.3372, 1163.2674
52, au10, 50671, 53874.939, 270.37805, 1417.0732
53, au10, 51878, 55500.684, 2126.5395, 1258.75
54, au10, 53256, 58119.539, 1443.7528, 1668.2472
55, au10, 54481, 52009.805, 1225.1264, 1469.8506
56, au10, 55903, 54083.835, 543.4433, 1192.1856
57, au10, 57236, 61611.024, 1311.7831, 4038.6506
58, au10, 58691, 58797.063, 1421.425, 1804.05
59, au10, 60222, 60136.034, 1117.1932, 1739.6477
60, au10, 61612, 62057.602, 686.91398, 1415.8172
61, au10, 63087, 59365.28, 632.08, 1434.65
62, au10, 64366, 58832.214, 1251.8333, 1426.4167
63, au10, 65705, 62843.079, 1426.2376, 2066.4356
64, au10, 67141, 65272.456, 1285.5111, 2394.1111
65, au10, 68861, 67590.321, 1355.5556, 1841.3704
66, au10, 70227, 69010.414, 1539.7126, 1230.4138
67, au10, 71976, 69962.524, 2756.2561, 1845.1829
68, au10, 73653, 66610.658, 1296.9315, 2591.0548
69, au10, 75300, 69033.112, 1045.5506, 1791.8539
70, au10, 77063, 67966.674, 2014.1348, 2253.8876
71, au10, 78534, 75827.064, 1972.9787, 1661.6489
72, au10, 80136, 71004.244, 1078.2326, 2523.1744
73, au10, 82114, 72044.243, 1230.9054, 2402.5676
74, au10, 83937, 71703.218, 1719.9872, 1552.4231
75, au10, 85766.5, 71803.714, 1459.039, 2232.2208
76, au10, 87618, 72697.462, 2034.3974, 1221.8333
77, au10, 89316, 78815.615, 3188.6615, 1652.4769
78, au10, 91108, 76418.195, 1255.4483, 1720.0575
79, au10, 93233, 82027.452, 1538.131, 2305.6786
80, au10, 95580, 85643.538, 2203.011, 1814.4066
81, au10, 97836, 87242.556, 3279.2469, 2123.9877
82, au10, 99989, 80368.938, 1326.95, 3198.4875
83, au10, 102695, 87007.205, 1557.9157, 2221.988
84, au10, 105453, 89514.78, 1826.8902, 2772.8537
85, au10, 108006, 83936.024, 2037, 2239.4146
86, au10, 111134, 95201.596, 7386.6404, 2468.3146
87, au10, 114372, 92944.837, 2877.8375, 1948.8875
88, au10, 118473, 91688.667, 1797.2051, 2391.0513
89, au10, 122470, 105514.99, 4479.6479, 3672.1408
90, au10, 126815, 97748.067, 3229.4382, 2856.7528
91, au10, 132239, 103541.41, 2649.1889, 2468.4667
92, au10, 137475, 105520.77, 3803.1687, 2747.4578
93, au10, 142826, 105070.82, 2260.4167, 2812.6458
94, au10, 150186, 108343.58, 4586.4396, 2630.6484
95, au10, 158557, 105270.54, 3310.2048, 3250.6988
96, au10, 168410, 111724.6, 4456.5281, 2568.8989
97, au10, 184558, 111841.39, 2944.5402, 4993.4598
98, au10, 207634, 130049.74, 4304.3918, 3549.299
99, au10, 256992, 146833.33, 4148.8846, 4361.6026
100, au10, ., 203176.1, 19128.93, 4819.2394