quantile, ccyy, threshold, hc, hceduc, hcmed, hcbgiftg, hncbgiftg
1, fr10, 150, 12923.878, 76.056962, 127.00633, 0, 0
2, fr10, 1321, 10928.857, 26.352201, 159.83019, 0, 0
3, fr10, 2591, 12369.874, 44.050955, 117.5414, 0, 0
4, fr10, 3852, 15367.027, 204.5, 157.21519, 0, 0
5, fr10, 4874, 13974.627, 65.746835, 128.93671, 5.6962025, 5.6962025
6, fr10, 5828, 15709.888, 240.20126, 196.86792, 7.5471698, 7.5471698
7, fr10, 6810, 17627.603, 44.910828, 172.38854, 3.8216561, 3.8216561
8, fr10, 7730, 18100.62, 68.196203, 132.6962, 1.8987342, 1.8987342
9, fr10, 8400, 16360.945, 80.1375, 230.29375, 0, 0
10, fr10, 9042, 16309.467, 74.051282, 172.86538, 0, 0
11, fr10, 9745, 16818.586, 163.41139, 264.03797, 9.4936709, 9.4936709
12, fr10, 10430, 17827.175, 55.962025, 280.58861, 1.8987342, 1.8987342
13, fr10, 10962, 17096.839, 55.518987, 191.39241, 0, 0
14, fr10, 11460, 16896.978, 85.246835, 228.51899, 9.4936709, 9.4936709
15, fr10, 11894, 17633.52, 17.03125, 225.55, 0, 0
16, fr10, 12360, 19135.59, 117.35897, 228.03205, 11.538462, 11.538462
17, fr10, 12848, 16986.052, 85.259494, 169.24051, 5.6962025, 5.6962025
18, fr10, 13240, 16779.437, 70.740506, 251.97468, 11.392405, 11.392405
19, fr10, 13722, 18364.545, 75.708861, 219.0443, 0, 0
20, fr10, 14136, 19473.433, 40.265823, 379.8481, 0, 0
21, fr10, 14594, 18708.504, 44.93038, 185.79114, 0, 0
22, fr10, 15000, 18814.914, 41.962264, 216, 0, 0
23, fr10, 15414, 19332.886, 103.36943, 190.47771, 0, 0
24, fr10, 15814, 19321.875, 30.436709, 230.3038, 1.8987342, 1.8987342
25, fr10, 16296, 20395.754, 25.772152, 380.25949, 37.974684, 37.974684
26, fr10, 16650, 21962.071, 116.03797, 295.28481, 0, 0
27, fr10, 17078, 21032.094, 54.626582, 263.41772, 0, 0
28, fr10, 17530, 21783.377, 73.816456, 348.16456, 0, 0
29, fr10, 17939, 20544.5, 56.765823, 237.48734, 0, 0
30, fr10, 18286, 22165.934, 73.727848, 303.68354, 0, 0
31, fr10, 18702, 22134.672, 47.658228, 269.10759, 0, 0
32, fr10, 19048, 21214.225, 91.144654, 215.1761, 0, 0
33, fr10, 19451, 23331.314, 179.27389, 377.28662, 0, 0
34, fr10, 19892, 24000.993, 26.923567, 356.20382, 0, 0
35, fr10, 20303, 24519.364, 74.06962, 341.61392, 0, 0
36, fr10, 20678, 22844.387, 133.61392, 309.20253, 36.075949, 36.075949
37, fr10, 21098, 24146.949, 46.860759, 317.94937, 0, 0
38, fr10, 21548, 25251.204, 85.386076, 387.62658, 0, 0
39, fr10, 21937, 26871.326, 72.367089, 298.91139, 0, 0
40, fr10, 22379, 25946.908, 75.006329, 279.86076, 0, 0
41, fr10, 22855, 27019.132, 45.468354, 276.5, 0, 0
42, fr10, 23318, 24943.362, 91.468354, 561.71519, 0, 0
43, fr10, 23844, 25251.604, 34.537975, 323.21519, 7.5949367, 7.5949367
44, fr10, 24269, 26525.324, 50.708861, 289.89241, 13.291139, 13.291139
45, fr10, 24733, 27003.951, 199.93671, 396.25316, 0, 0
46, fr10, 25181, 28036.557, 31.803797, 415.36076, 0, 0
47, fr10, 25654, 27077.993, 72.531646, 407.16456, 0, 0
48, fr10, 26086, 28746.204, 98.936709, 381.18354, 0, 0
49, fr10, 26540, 29122.993, 54.550633, 358.03165, 0, 0
50, fr10, 27006, 27753.585, 100.12658, 330.71519, 1.8987342, 1.8987342
51, fr10, 27492, 29869.879, 110.34177, 356.53797, 0, 0
52, fr10, 27996, 29722.345, 238.5443, 352.17722, 5.6962025, 5.6962025
53, fr10, 28488, 29624.705, 104.73418, 378.06329, 0, 0
54, fr10, 28973, 30386.293, 53.765823, 377.8481, 0, 0
55, fr10, 29480, 31676.604, 116.37107, 446.13208, 0, 0
56, fr10, 29985, 30280.897, 81.452229, 440.6051, 0, 0
57, fr10, 30570, 31942.841, 92.126582, 543.46203, 0, 0
58, fr10, 31152, 31486.646, 108.37342, 401.35443, 0, 0
59, fr10, 31666, 32748.784, 171.58491, 423.22013, 0, 0
60, fr10, 32260, 35445.542, 77.299363, 442.07643, 0, 0
61, fr10, 32786, 35351.568, 75.234177, 471.39873, 0, 0
62, fr10, 33389, 35641.313, 88.088608, 490.53165, 13.291139, 13.291139
63, fr10, 34021, 34696.638, 79.335443, 519.37975, 0, 0
64, fr10, 34651, 35004.417, 58.335443, 455.89873, 0, 0
65, fr10, 35199, 37278.424, 196.2327, 511.97484, 0, 0
66, fr10, 35860, 35175.37, 121.14013, 571.55414, 0, 0
67, fr10, 36516, 37190.351, 194.64968, 555.50318, 0, 0
68, fr10, 37200, 38475.639, 182.89241, 533.06962, 0, 0
69, fr10, 38001, 39728.205, 265.92405, 684.12025, 0, 0
70, fr10, 38668, 37506.697, 98.647799, 461.76101, 0, 0
71, fr10, 39307, 35831.69, 220.11465, 551.82803, 0, 0
72, fr10, 39969, 38205.622, 154.3038, 456.13924, 0, 0
73, fr10, 40688, 39064.442, 192.1962, 437.35443, 0, 0
74, fr10, 41350, 41100.925, 171.03797, 495.13291, 0, 0
75, fr10, 41995, 40990.708, 452.12025, 644.24051, 0, 0
76, fr10, 42753, 40059.967, 274.22152, 589.13924, 18.987342, 18.987342
77, fr10, 43640, 40475.895, 92.563291, 490.89873, 0, 0
78, fr10, 44502, 42377.803, 391.36076, 587.53797, 0, 0
79, fr10, 45184, 43469.338, 112.96203, 610.32911, 0, 0
80, fr10, 46055, 43589.801, 80.240506, 623.8481, 0, 0
81, fr10, 47035, 42350.026, 91.320755, 627.93082, 0, 0
82, fr10, 48202, 43290.058, 114.02548, 533.09554, 0, 0
83, fr10, 49183, 45033.163, 196.40506, 595.60127, 0, 0
84, fr10, 50416, 47237.548, 249.94304, 543.1519, 0, 0
85, fr10, 51603, 49475.517, 311.74214, 557.90566, 0, 0
86, fr10, 52923, 47881.306, 346.79874, 698.79245, 1.8867925, 1.8867925
87, fr10, 54217, 47801.178, 435.53205, 593.26923, 0, 0
88, fr10, 55682, 48867.487, 196.1519, 677.37342, 0, 0
89, fr10, 57652, 53725.128, 278.46203, 660.29747, 0, 0
90, fr10, 59209, 52156.167, 272.53165, 555.84177, 0, 0
91, fr10, 61200, 52050.124, 270.86076, 788.87975, 0, 0
92, fr10, 63961, 52847.565, 238.28931, 724.67925, 0, 0
93, fr10, 66438, 58715.422, 228.8535, 782.26752, 0, 0
94, fr10, 69394, 54813.168, 825.68987, 657.02532, 0, 0
95, fr10, 73985, 57730.154, 927.27215, 782.62025, 0, 0
96, fr10, 79173, 62131.123, 797.86076, 685.88608, 0, 0
97, fr10, 85362, 63087.548, 510.1962, 796.66456, 0, 0
98, fr10, 96091, 71148.057, 536.51899, 922.05063, 0, 0
99, fr10, 114128, 74631.401, 668.29114, 924.24051, 0, 0
100, fr10, ., 85575.801, 1178.9363, 939.41401, 0, 0
1, ie10, 702, ., ., ., 571.77273, 571.77273
2, ie10, 3870, ., ., ., 202.97674, 202.97674
3, ie10, 6621, ., ., ., 325.83721, 325.83721
4, ie10, 9516, ., ., ., 471.83721, 471.83721
5, ie10, 10055, ., ., ., 199.34091, 199.34091
6, ie10, 10419, ., ., ., 304.55814, 304.55814
7, ie10, 10816, ., ., ., 395.86364, 395.86364
8, ie10, 11191, ., ., ., 631.97619, 631.97619
9, ie10, 11744, ., ., ., 318.60465, 318.60465
10, ie10, 12308, ., ., ., 659.34091, 659.34091
11, ie10, 12480, ., ., ., 823.09091, 823.09091
12, ie10, 12862, ., ., ., 657.35714, 657.35714
13, ie10, 13016, ., ., ., 886.07937, 886.07937
14, ie10, 13208, ., ., ., 750.5, 750.5
15, ie10, 13531, ., ., ., 645.55814, 645.55814
16, ie10, 13764, ., ., ., 719.69767, 719.69767
17, ie10, 13988, ., ., ., 745.31111, 745.31111
18, ie10, 14185, ., ., ., 776.92683, 776.92683
19, ie10, 14589, ., ., ., 614.13636, 614.13636
20, ie10, 15335, ., ., ., 578.81395, 578.81395
21, ie10, 16039, ., ., ., 487.46512, 487.46512
22, ie10, 16742, ., ., ., 354.88372, 354.88372
23, ie10, 17343, ., ., ., 451.90909, 451.90909
24, ie10, 17911, ., ., ., 337.34884, 337.34884
25, ie10, 18666, ., ., ., 270.37209, 270.37209
26, ie10, 19476, ., ., ., 473.62791, 473.62791
27, ie10, 19885, ., ., ., 407.37209, 407.37209
28, ie10, 20448, ., ., ., 313.90909, 313.90909
29, ie10, 20976, ., ., ., 252.90698, 252.90698
30, ie10, 21404, ., ., ., 261.30233, 261.30233
31, ie10, 21959, ., ., ., 407.06977, 407.06977
32, ie10, 22383, ., ., ., 405.45455, 405.45455
33, ie10, 22840, ., ., ., 522.97674, 522.97674
34, ie10, 23343, ., ., ., 582.95556, 582.95556
35, ie10, 23717, ., ., ., 444.54762, 444.54762
36, ie10, 24037, ., ., ., 487.2619, 487.2619
37, ie10, 24472, ., ., ., 406.13636, 406.13636
38, ie10, 24912, ., ., ., 529.23256, 529.23256
39, ie10, 25286, ., ., ., 552.81395, 552.81395
40, ie10, 25785, ., ., ., 416.51163, 416.51163
41, ie10, 26310, ., ., ., 321, 321
42, ie10, 26919, ., ., ., 449.65116, 449.65116
43, ie10, 27409, ., ., ., 313.61364, 313.61364
44, ie10, 27817, ., ., ., 345, 345
45, ie10, 28384, ., ., ., 291.27907, 291.27907
46, ie10, 29023, ., ., ., 187.52273, 187.52273
47, ie10, 29674, ., ., ., 181.90698, 181.90698
48, ie10, 30212, ., ., ., 125.90698, 125.90698
49, ie10, 30845, ., ., ., 236.44186, 236.44186
50, ie10, 31454, ., ., ., 251.44186, 251.44186
51, ie10, 31968, ., ., ., 210.04545, 210.04545
52, ie10, 32689, ., ., ., 282.04651, 282.04651
53, ie10, 33232, ., ., ., 229.2093, 229.2093
54, ie10, 33769, ., ., ., 190.93023, 190.93023
55, ie10, 34503, ., ., ., 225.59091, 225.59091
56, ie10, 35093, ., ., ., 202.13953, 202.13953
57, ie10, 35759, ., ., ., 179.44186, 179.44186
58, ie10, 36327, ., ., ., 104.93023, 104.93023
59, ie10, 36996, ., ., ., 182.62791, 182.62791
60, ie10, 37638, ., ., ., 121.90909, 121.90909
61, ie10, 38203, ., ., ., 91.55814, 91.55814
62, ie10, 38904, ., ., ., 159.97674, 159.97674
63, ie10, 39643, ., ., ., 157.46512, 157.46512
64, ie10, 40386, ., ., ., 65.590909, 65.590909
65, ie10, 40997, ., ., ., 173.34884, 173.34884
66, ie10, 41746, ., ., ., 180.02326, 180.02326
67, ie10, 42452, ., ., ., 167.88372, 167.88372
68, ie10, 43376, ., ., ., 249.48837, 249.48837
69, ie10, 44420, ., ., ., 200.31818, 200.31818
70, ie10, 45272, ., ., ., 90.27907, 90.27907
71, ie10, 46062, ., ., ., 196.74419, 196.74419
72, ie10, 47197, ., ., ., 177.63636, 177.63636
73, ie10, 48287, ., ., ., 181.04651, 181.04651
74, ie10, 49208, ., ., ., 132.5, 132.5
75, ie10, 50136, ., ., ., 59.952381, 59.952381
76, ie10, 51225, ., ., ., 180.13953, 180.13953
77, ie10, 52016, ., ., ., 126.04651, 126.04651
78, ie10, 53140, ., ., ., 171.86667, 171.86667
79, ie10, 54164, ., ., ., 186.7619, 186.7619
80, ie10, 55221, ., ., ., 113.48837, 113.48837
81, ie10, 56261, ., ., ., 161.16279, 161.16279
82, ie10, 57513, ., ., ., 77.545455, 77.545455
83, ie10, 58660, ., ., ., 104.02326, 104.02326
84, ie10, 60289, ., ., ., 46.139535, 46.139535
85, ie10, 61266, ., ., ., 90.883721, 90.883721
86, ie10, 62617, ., ., ., 22.372093, 22.372093
87, ie10, 64105, ., ., ., 69.727273, 69.727273
88, ie10, 65936, ., ., ., 12.136364, 12.136364
89, ie10, 67911, ., ., ., 81.428571, 81.428571
90, ie10, 70114, ., ., ., 67.116279, 67.116279
91, ie10, 71902, ., ., ., 46.818182, 46.818182
92, ie10, 74396, ., ., ., 34.651163, 34.651163
93, ie10, 77084, ., ., ., 56.465116, 56.465116
94, ie10, 80331, ., ., ., 81.162791, 81.162791
95, ie10, 84017, ., ., ., 80.697674, 80.697674
96, ie10, 90108, ., ., ., 65.590909, 65.590909
97, ie10, 97301, ., ., ., 128.46512, 128.46512
98, ie10, 108817, ., ., ., 28.186047, 28.186047
99, ie10, 132698, ., ., ., 67.302326, 67.302326
100, ie10, ., ., ., ., 67.44186, 67.44186
1, lu10, 11343, ., ., ., 0, 0
2, lu10, 15958, ., ., ., 0, 0
3, lu10, 18281, ., ., ., 103.4717, 103.4717
4, lu10, 19750, ., ., ., 39.272727, 39.272727
5, lu10, 20993, ., ., ., 82.846154, 82.846154
6, lu10, 22258, ., ., ., 210.11321, 210.11321
7, lu10, 23513, ., ., ., 75.555556, 75.555556
8, lu10, 24975, ., ., ., 610.69091, 610.69091
9, lu10, 26107, ., ., ., 319.15385, 319.15385
10, lu10, 27393, ., ., ., 0, 0
11, lu10, 28519, ., ., ., 150, 150
12, lu10, 29538, ., ., ., 272.94545, 272.94545
13, lu10, 30376, ., ., ., 155.55556, 155.55556
14, lu10, 31212, ., ., ., 50.4, 50.4
15, lu10, 32041, ., ., ., 134.66667, 134.66667
16, lu10, 32804, ., ., ., 134.4, 134.4
17, lu10, 33368, ., ., ., 425.66038, 425.66038
18, lu10, 34310, ., ., ., 101.45455, 101.45455
19, lu10, 35072, ., ., ., 0, 0
20, lu10, 35986, ., ., ., 0, 0
21, lu10, 36698, ., ., ., 236.66667, 236.66667
22, lu10, 37414, ., ., ., 77.018182, 77.018182
23, lu10, 38000, ., ., ., 92.444444, 92.444444
24, lu10, 38710, ., ., ., 0, 0
25, lu10, 39432.5, ., ., ., 160.22222, 160.22222
26, lu10, 40053, ., ., ., 120, 120
27, lu10, 40683, ., ., ., 186.32727, 186.32727
28, lu10, 41369, ., ., ., 110.22222, 110.22222
29, lu10, 42019, ., ., ., 0, 0
30, lu10, 42768, ., ., ., 0, 0
31, lu10, 43508, ., ., ., 108.65455, 108.65455
32, lu10, 44043, ., ., ., 91.111111, 91.111111
33, lu10, 44569, ., ., ., 0, 0
34, lu10, 45263, ., ., ., 0, 0
35, lu10, 45926, ., ., ., 226.90909, 226.90909
36, lu10, 46467, ., ., ., 0, 0
37, lu10, 47130, ., ., ., 0, 0
38, lu10, 47815, ., ., ., 233.33333, 233.33333
39, lu10, 48354, ., ., ., 0, 0
40, lu10, 49096, ., ., ., 0, 0
41, lu10, 49729, ., ., ., 196.36364, 196.36364
42, lu10, 50396, ., ., ., 0, 0
43, lu10, 51141, ., ., ., 0, 0
44, lu10, 51648, ., ., ., 0, 0
45, lu10, 52267, ., ., ., 0, 0
46, lu10, 53022, ., ., ., 0, 0
47, lu10, 53782, ., ., ., 0, 0
48, lu10, 54550, ., ., ., 0, 0
49, lu10, 55421, ., ., ., 379.63636, 379.63636
50, lu10, 55974, ., ., ., 0, 0
51, lu10, 56715, ., ., ., 0, 0
52, lu10, 57683, ., ., ., 0, 0
53, lu10, 58488, ., ., ., 0, 0
54, lu10, 59497, ., ., ., 0, 0
55, lu10, 60441, ., ., ., 222.22222, 222.22222
56, lu10, 61270, ., ., ., 327.27273, 327.27273
57, lu10, 62070, ., ., ., 0, 0
58, lu10, 62940, ., ., ., 347.56364, 347.56364
59, lu10, 63711, ., ., ., 0, 0
60, lu10, 64509, ., ., ., 0, 0
61, lu10, 65242, ., ., ., 360, 360
62, lu10, 66416, ., ., ., 0, 0
63, lu10, 67554, ., ., ., 0, 0
64, lu10, 68607, ., ., ., 0, 0
65, lu10, 69547, ., ., ., 88.888889, 88.888889
66, lu10, 70380, ., ., ., 238.90909, 238.90909
67, lu10, 71566, ., ., ., 0, 0
68, lu10, 72548, ., ., ., 0, 0
69, lu10, 73662, ., ., ., 0, 0
70, lu10, 74722, ., ., ., 0, 0
71, lu10, 76179, ., ., ., 0, 0
72, lu10, 77624, ., ., ., 0, 0
73, lu10, 78847, ., ., ., 0, 0
74, lu10, 80376, ., ., ., 0, 0
75, lu10, 81710.5, ., ., ., 0, 0
76, lu10, 83096, ., ., ., 0, 0
77, lu10, 84530, ., ., ., 0, 0
78, lu10, 86024, ., ., ., 0, 0
79, lu10, 87824, ., ., ., 0, 0
80, lu10, 89550, ., ., ., 0, 0
81, lu10, 91635, ., ., ., 0, 0
82, lu10, 93862, ., ., ., 0, 0
83, lu10, 95634, ., ., ., 0, 0
84, lu10, 97214, ., ., ., 0, 0
85, lu10, 98924, ., ., ., 0, 0
86, lu10, 101302, ., ., ., 0, 0
87, lu10, 103324, ., ., ., 0, 0
88, lu10, 105654, ., ., ., 0, 0
89, lu10, 107956, ., ., ., 0, 0
90, lu10, 110823, ., ., ., 0, 0
91, lu10, 114285, ., ., ., 0, 0
92, lu10, 117928, ., ., ., 0, 0
93, lu10, 122812, ., ., ., 0, 0
94, lu10, 128676, ., ., ., 0, 0
95, lu10, 134108, ., ., ., 0, 0
96, lu10, 141393, ., ., ., 0, 0
97, lu10, 153844, ., ., ., 0, 0
98, lu10, 167417, ., ., ., 0, 0
99, lu10, 205711, ., ., ., 0, 0
100, lu10, ., ., ., ., 0, 0
1, pe10, -91, 13368.685, 529.35681, 1197.1972, 374.42723, 374.42723
2, pe10, 94, 12721.056, 547.05634, 815.98122, 44.859155, 44.859155
3, pe10, 290, 6313.9005, 186.98104, 272.92417, 86.853081, 86.853081
4, pe10, 496, 5454.2991, 122.49065, 338.71028, 125.30374, 125.30374
5, pe10, 674, 6242.7109, 180.15166, 452.08057, 141.36493, 141.36493
6, pe10, 884, 6069.7196, 185.85514, 434.50935, 163.39252, 163.39252
7, pe10, 1115, 6180.2524, 153.46667, 507.55714, 148.18095, 148.18095
8, pe10, 1311, 6786.7535, 236.13023, 373.31163, 228.9907, 228.9907
9, pe10, 1513, 6497.1462, 155.5, 423.37736, 217.58962, 217.58962
10, pe10, 1715, 7665.9333, 275.90476, 595.8381, 294.18571, 294.18571
11, pe10, 1909, 6796.9061, 177.47887, 429.94836, 279.42723, 279.42723
12, pe10, 2139, 7430.3538, 271.98113, 439.83491, 370.08962, 370.08962
13, pe10, 2370, 7472.1028, 279.3972, 498.16822, 394.22897, 394.22897
14, pe10, 2573, 7770.3412, 228.19431, 527.76303, 322.70616, 322.70616
15, pe10, 2784, 8510.684, 300.18396, 463.35377, 400.65566, 400.65566
16, pe10, 3018, 9702.9906, 426.60849, 833.63679, 433.63208, 433.63208
17, pe10, 3251, 8809.717, 337.13208, 562.88208, 457.2783, 457.2783
18, pe10, 3507, 8952.9155, 326.4554, 579.82629, 442.21596, 442.21596
19, pe10, 3756, 9579.2535, 301.44131, 756.82629, 449.15023, 449.15023
20, pe10, 3999, 9232.3803, 370.56808, 603.40376, 534.57277, 534.57277
21, pe10, 4232, 9792.3555, 319.3128, 768.92417, 562.58294, 562.58294
22, pe10, 4497, 10379.835, 363.84906, 705.82075, 482.60377, 482.60377
23, pe10, 4764, 9189.2347, 314.74178, 476.66667, 428.98122, 428.98122
24, pe10, 5013, 11007.552, 441.82075, 775.57075, 496.43396, 496.43396
25, pe10, 5264.5, 10556.123, 393.41232, 690.24171, 512.72986, 512.72986
26, pe10, 5515, 11171.601, 369.11737, 814.99531, 478.4507, 478.4507
27, pe10, 5812, 11644.703, 434.23113, 862.09906, 566.81604, 566.81604
28, pe10, 6102, 11766.788, 381.46226, 946.54245, 429.33491, 429.33491
29, pe10, 6386, 11175.252, 333.10748, 848.42991, 433.25234, 433.25234
30, pe10, 6681, 11920.635, 505.81043, 825.94313, 434.94787, 434.94787
31, pe10, 7013, 11852.58, 489.75943, 795.01887, 488.79245, 488.79245
32, pe10, 7292, 12932.248, 604.40654, 1006.6028, 556.53738, 556.53738
33, pe10, 7572, 12455.829, 494.24171, 828.47867, 510.22749, 510.22749
34, pe10, 7870, 12681.453, 546.44393, 808.76636, 579.33178, 579.33178
