quantile, ccyy, threshold, hc, hceduc, hcmed, hcbgiftg, hncbgiftg
35, pe10, 8176, 12534.19, 499.29384, 790.99052, 535.75355, 535.75355
36, pe10, 8455, 13581.236, 586.49528, 995.94811, 465.06132, 465.06132
37, pe10, 8783, 13658.533, 568.22642, 829.04245, 506.56604, 506.56604
38, pe10, 9065, 14191.566, 579.25, 940.08491, 509.89151, 509.89151
39, pe10, 9418, 14821.142, 653.46226, 1102.0519, 577.33019, 577.33019
40, pe10, 9684, 14593.135, 491.46512, 1222.3023, 606.17209, 606.17209
41, pe10, 10004, 14709.128, 620.4455, 1095.0569, 439.3981, 439.3981
42, pe10, 10293, 14534.637, 585.87736, 935.26415, 534.71698, 534.71698
43, pe10, 10602, 14277.042, 581.88263, 879.99531, 503.25352, 503.25352
44, pe10, 10926, 15324.557, 580.79245, 1118.1368, 599.35377, 599.35377
45, pe10, 11225, 15814.566, 642.32547, 1129.783, 616.79245, 616.79245
46, pe10, 11574, 16613.341, 718.18009, 1125.891, 582.08057, 582.08057
47, pe10, 11927, 17107.481, 782.55607, 1337.0421, 542.54673, 542.54673
48, pe10, 12303, 16860.038, 751.14151, 1007.5849, 523.06132, 523.06132
49, pe10, 12607, 17121.081, 841.58294, 1490.2701, 723.96209, 723.96209
50, pe10, 12918, 16514.313, 627.35047, 1071.8458, 579.02804, 579.02804
51, pe10, 13272, 17938.75, 757.78774, 1150.9434, 526.24057, 526.24057
52, pe10, 13578, 17431.915, 718.02844, 1262.8341, 687.38389, 687.38389
53, pe10, 13946, 18203.612, 909.70561, 1121.4299, 662.81776, 662.81776
54, pe10, 14274, 19372.351, 987.64929, 1316.6777, 495.67299, 495.67299
55, pe10, 14657, 18473.821, 888.75472, 1298.217, 593.53302, 593.53302
56, pe10, 15048, 18332.533, 857.34434, 1450.3208, 743.7217, 743.7217
57, pe10, 15465, 19114.901, 985.69014, 1488.6573, 650.47887, 650.47887
58, pe10, 15825, 19639.689, 832.57547, 1442.4292, 640.93396, 640.93396
59, pe10, 16228, 19084.486, 970.34906, 1261.3208, 644.6934, 644.6934
60, pe10, 16673, 20540.606, 1001.9014, 1352.9061, 633.83099, 633.83099
61, pe10, 17184, 20822.755, 1052.6934, 1464.5236, 626.43868, 626.43868
62, pe10, 17664, 21338.071, 1053.8019, 1590.7547, 718.31604, 718.31604
63, pe10, 18132, 21154.377, 1125.4198, 1427.3019, 649.11321, 649.11321
64, pe10, 18564, 21981.057, 1002.5377, 1413.684, 662.52358, 662.52358
65, pe10, 19067, 22788.967, 1141.9812, 1587.1549, 696.69953, 696.69953
66, pe10, 19555, 23347.929, 1104.9906, 1500.75, 642.0283, 642.0283
67, pe10, 20103, 22490.434, 1200.1745, 1516.1981, 644.08491, 644.08491
68, pe10, 20589, 24469.239, 1634.385, 1524.3239, 736.67136, 736.67136
69, pe10, 21115, 22736.547, 1205.3491, 1658.7028, 698.79245, 698.79245
70, pe10, 21622, 23543.594, 1208.4198, 1670.4575, 582.82075, 582.82075
71, pe10, 22192, 23593.887, 1054.662, 1562, 696.71831, 696.71831
72, pe10, 22793, 24608.967, 1254.184, 1708.1651, 783.81604, 783.81604
73, pe10, 23427, 25021.141, 1189.7887, 1996.939, 956.81221, 956.81221
74, pe10, 24015, 25480.972, 1306.6066, 1875.5829, 871.43602, 871.43602
75, pe10, 24689.5, 26035.505, 1348.8208, 1889.5472, 679.40094, 679.40094
76, pe10, 25358, 27121.657, 1627.2911, 2192.7793, 1116.7183, 1116.7183
77, pe10, 26002, 28051.319, 1562.5399, 2164.5634, 1027.6056, 1027.6056
78, pe10, 26971, 27776.469, 1469.218, 2266.7393, 1095.5829, 1095.5829
79, pe10, 27819, 27859.554, 1651.1502, 2321.6432, 946.76995, 946.76995
80, pe10, 28716, 28407.217, 1779.6321, 2382.0283, 1032.0943, 1032.0943
81, pe10, 29663, 29828.646, 1611.0236, 2250.967, 973.88679, 973.88679
82, pe10, 30595, 29627.66, 1578.3538, 2482.5094, 983.81132, 983.81132
83, pe10, 31762, 29389.793, 1682.8357, 1869.6995, 847.19718, 847.19718
84, pe10, 32897, 32334.382, 1846.9811, 2438.3868, 998.83019, 998.83019
85, pe10, 34082, 31993.288, 1693.5047, 2501.5472, 1067.4623, 1067.4623
86, pe10, 35428, 33086.268, 1782.6197, 2574.7981, 1050.9155, 1050.9155
87, pe10, 36752, 32628.057, 2050.9245, 2377.2547, 1152.467, 1152.467
88, pe10, 38296, 33970.717, 2345.3821, 2702.9057, 1224.1792, 1224.1792
89, pe10, 39939, 36864.892, 2535.6651, 3309.1179, 1055.3821, 1055.3821
90, pe10, 42000, 34550.304, 2056.4813, 2641.0981, 1176.4766, 1176.4766
91, pe10, 44153, 39389.948, 2718.6114, 3118.9763, 1192.4976, 1192.4976
92, pe10, 46421, 39386.764, 2485.2406, 3160.4009, 1403.184, 1403.184
93, pe10, 49186, 40221.526, 2903.4085, 4019.338, 1939.2629, 1939.2629
94, pe10, 52194, 40331.132, 2651.0094, 3455.533, 1463.0047, 1463.0047
95, pe10, 56357, 43404.835, 3161.2877, 3452.6651, 1413.5849, 1413.5849
96, pe10, 62213, 45053.292, 3057.7075, 3877.4104, 1546.1368, 1546.1368
97, pe10, 69358, 47967.737, 3632.23, 3484.3146, 1142.1972, 1142.1972
98, pe10, 80549, 55559.858, 4084.4009, 6213.1085, 2591.3962, 2591.3962
99, pe10, 103403, 56834.406, 4215.1321, 4979.1132, 1960.2311, 1960.2311
100, pe10, ., 73829.09, 6578.2311, 8500.7311, 3126.3066, 3126.3066
1, si10, 1641, 12435.079, 2.675, 209.5, 181.525, 181.525
2, si10, 2824, 14856.921, 92.717949, 334.05128, 193.71795, 193.71795
3, si10, 4010, 13748.472, 2.8974359, 549.69231, 228.76923, 228.76923
4, si10, 4978, 9801.3243, 17.589744, 212.84615, 213.05128, 213.05128
5, si10, 5686, 10858.838, .8, 282.425, 216.95, 216.95
6, si10, 6113, 9358.3939, 0, 71.051282, 177.17949, 177.17949
7, si10, 6540, 12215.5, 13.615385, 133.69231, 149.30769, 149.30769
8, si10, 6966, 11393.028, 19.205128, 261.05128, 189.58974, 189.58974
9, si10, 7574, 12303.846, 0, 240.9, 153.35, 153.35
10, si10, 7906, 12479.795, 19.974359, 312.48718, 174.10256, 174.10256
11, si10, 8478, 12727.441, 64.538462, 338.84615, 264.33333, 264.33333
12, si10, 8810, 12966.167, 8.9487179, 351.53846, 149.48718, 149.48718
13, si10, 9208, 12948.081, 0, 266.55, 214.475, 214.475
14, si10, 9618, 12837.351, 0, 188.33333, 101.53846, 101.53846
15, si10, 10001, 16844.778, 112.79487, 272.94872, 283.51282, 283.51282
16, si10, 10329, 16568.595, 55.923077, 247.74359, 239.10256, 239.10256
17, si10, 10824, 16247.026, 96.425, 319.625, 168.9, 168.9
18, si10, 11223, 16844.97, 23.512821, 326.64103, 131.94872, 131.94872
19, si10, 11547, 17566.108, 39.948718, 411.66667, 160.61538, 160.61538
20, si10, 11913, 18477.892, 27.769231, 576.25641, 173.05128, 173.05128
21, si10, 12257, 16429.667, 69.85, 217.1, 258.15, 258.15
22, si10, 12617, 18572.389, 39.25641, 526.15385, 118.84615, 118.84615
23, si10, 12953, 18302.343, 71.717949, 271.74359, 231.69231, 231.69231
24, si10, 13308, 18166.971, 60.179487, 694.33333, 107.92308, 107.92308
25, si10, 13552.5, 16780.4, 81.769231, 573.41026, 219.58974, 219.58974
26, si10, 13959, 17183.487, 45.15, 382.45, 189.1, 189.1
27, si10, 14254, 19511.343, 59.307692, 354.23077, 146.87179, 146.87179
28, si10, 14614, 20126.622, 91.512821, 549.66667, 82.692308, 82.692308
29, si10, 14869, 20335.297, 39.205128, 708.17949, 122.79487, 122.79487
30, si10, 15181, 19155.538, 46.926829, 397.7561, 118.80488, 118.80488
31, si10, 15530, 18093.229, 53.657895, 450.28947, 159.26316, 159.26316
32, si10, 15758, 18354.553, 77.307692, 378.48718, 128.58974, 128.58974
33, si10, 16005, 20530.114, 155.69231, 446.35897, 164.10256, 164.10256
34, si10, 16254, 22142.436, 106.475, 921.4, 106.15, 106.15
35, si10, 16647, 20658.314, 28.025641, 359.35897, 109.66667, 109.66667
36, si10, 16946, 19745.744, 34.333333, 587.87179, 166.84615, 166.84615
37, si10, 17275, 19740.026, 259.38462, 365.97436, 139.92308, 139.92308
38, si10, 17585, 21291.368, 122.225, 401.75, 162.1, 162.1
39, si10, 17899, 20287.686, 143.76923, 421.23077, 140.02564, 140.02564
40, si10, 18203, 21631.595, 81.512821, 445.30769, 168.89744, 168.89744
41, si10, 18450, 20687.211, 119.51282, 717.17949, 134.17949, 134.17949
42, si10, 18784, 22964.8, 29.325, 366.925, 176.5, 176.5
43, si10, 19107, 22857.25, 285.76923, 500.69231, 155.20513, 155.20513
44, si10, 19425, 21674.806, 134.28205, 456.79487, 124, 124
45, si10, 19708, 22823.324, 97.15, 405.925, 147.625, 147.625
46, si10, 19999, 22583.658, 149.74359, 384.87179, 135.05128, 135.05128
47, si10, 20309, 23587.622, 168.58974, 642.89744, 93.923077, 93.923077
48, si10, 20622, 22241.757, 126.30769, 281.33333, 199.10256, 199.10256
49, si10, 20987, 22199.361, 110.23077, 405.82051, 104.35897, 104.35897
50, si10, 21302, 25394.6, 327.12821, 658.48718, 193.25641, 193.25641
51, si10, 21602, 24515.308, 121.15, 544.2, 121.95, 121.95
52, si10, 21898, 24014.811, 163.94872, 535.07692, 86.897436, 86.897436
53, si10, 22282, 26674.892, 121.12821, 700.35897, 130.28205, 130.28205
54, si10, 22513, 25149.083, 120.94872, 774.79487, 127.58974, 127.58974
55, si10, 22834, 26924.077, 92.125, 398.75, 118.35, 118.35
56, si10, 23104, 25671.051, 104.66667, 384.30769, 141.28205, 141.28205
57, si10, 23465, 26327.405, 397.84615, 517.53846, 168.89744, 168.89744
58, si10, 23768, 23325.351, 234.4359, 334.12821, 208.02564, 208.02564
59, si10, 24094, 23298.162, 236.85, 563.825, 210.975, 210.975
60, si10, 24402, 24570.692, 168.02564, 545.51282, 137.97436, 137.97436
61, si10, 24821, 25478.711, 329.28205, 623.41026, 107, 107
62, si10, 25198, 28423.474, 383.30769, 268.94872, 129.51282, 129.51282
63, si10, 25693, 27514.775, 143.825, 675.475, 201.5, 201.5
64, si10, 26005, 29774.553, 150.4359, 328.97436, 123.69231, 123.69231
65, si10, 26351, 26274.947, 332.10256, 470, 159.58974, 159.58974
66, si10, 26739, 24940.718, 370.76923, 493.66667, 110.51282, 110.51282
67, si10, 27154, 29832.289, 178, 623.575, 156.5, 156.5
68, si10, 27525, 26674.611, 396.79487, 453.58974, 111.30769, 111.30769
69, si10, 27912, 28432.297, 311.58974, 430.48718, 175.69231, 175.69231
70, si10, 28294, 26845.105, 240.20513, 634.46154, 128, 128
71, si10, 28832, 29722.564, 229.825, 526.625, 43.25, 43.25
72, si10, 29186, 29122.605, 246.41026, 544.89744, 195.35897, 195.35897
73, si10, 29684, 29533.053, 306.4359, 535.35897, 215.33333, 215.33333
74, si10, 30098, 26990.568, 544.69231, 566.05128, 148.07692, 148.07692
75, si10, 30612, 28144.162, 436.79487, 409.61538, 60.666667, 60.666667
76, si10, 31019, 31755.4, 426.35, 603.35, 147.425, 147.425
77, si10, 31435, 29529.105, 221.51282, 530.76923, 156.17949, 156.17949
78, si10, 31940, 29954.711, 224.71795, 662.51282, 169.87179, 169.87179
79, si10, 32439, 36388.658, 341.89744, 436.61538, 122.35897, 122.35897
80, si10, 33035, 36802.897, 608.875, 841.1, 72.25, 72.25
81, si10, 33731, 33142.528, 254.46154, 610.02564, 219.10256, 219.10256
82, si10, 34383, 31706.838, 426.15385, 600.53846, 134.46154, 134.46154
83, si10, 34954, 34669.895, 545.25641, 619.5641, 130.71795, 130.71795
84, si10, 35572, 31340.718, 146.025, 682.625, 115.4, 115.4
85, si10, 36141, 35527.949, 357.30769, 544.30769, 67.487179, 67.487179
86, si10, 36624, 38225.583, 459.69231, 660, 133.4359, 133.4359
87, si10, 37280, 36317.784, 621.15385, 506.87179, 151.02564, 151.02564
88, si10, 38222, 36230.718, 246.275, 617.325, 86.3, 86.3
89, si10, 39075, 34426.158, 413.87179, 670.66667, 168.46154, 168.46154
90, si10, 40091, 33332.027, 361.64103, 505.35897, 102.15385, 102.15385
91, si10, 41221, 36737.718, 260.64103, 648.12821, 94.333333, 94.333333
92, si10, 42322, 34728, 452.2, 762.825, 132.6, 132.6
93, si10, 43351, 37340.436, 258.66667, 629.38462, 152.64103, 152.64103
94, si10, 44642, 41323.051, 315.74359, 896.10256, 91.512821, 91.512821
95, si10, 46834, 39391.282, 114.30769, 674.92308, 110.94872, 110.94872
96, si10, 49338, 39342.5, 439.75, 843.05, 142.15, 142.15
97, si10, 52254, 39373.256, 340.64103, 652.25641, 96.230769, 96.230769
98, si10, 56823, 46581.795, 629, 814.33333, 52.205128, 52.205128
99, si10, 63622, 51570.378, 439.71795, 1316.8462, 102.82051, 102.82051
100, si10, ., 48747.842, 483.41026, 556.12821, 100.02564, 100.02564
1, us10, 88, ., ., 4114.4521, 170.93617, 170.93617
2, us10, 3200, ., ., 5412.6822, 437.7766, 437.7766
3, us10, 6076, ., ., 6216.8019, 614.23404, 614.23404
4, us10, 8152, ., ., 8480.7327, 787.35638, 787.35638
5, us10, 9300, ., ., 9982.6609, 697.24468, 697.24468
6, us10, 10253, ., ., 10218.086, 580.86702, 580.86702
7, us10, 11196, ., ., 10051.175, 666.86623, 666.86623
8, us10, 12000, ., ., 9897.9253, 442.352, 442.352
9, us10, 12888, ., ., 9998.3787, 397.376, 397.376
10, us10, 13610, ., ., 10380.262, 289.06773, 289.06773
11, us10, 14400, ., ., 9936.4391, 278.9882, 278.9882
12, us10, 15258, ., ., 9477.5324, 265.23243, 265.23243
13, us10, 16055, ., ., 9532.8457, 178.21277, 178.21277
14, us10, 16880, ., ., 10074.907, 245.05179, 245.05179
15, us10, 17674, ., ., 8290.2154, 203.85638, 203.85638
16, us10, 18464, ., ., 9023.745, 169.14741, 169.14741
17, us10, 19235, ., ., 11173.677, 164.63551, 164.63551
18, us10, 20104, ., ., 8586.3457, 183.39894, 183.39894
19, us10, 20940, ., ., 8593.3519, 171.12351, 171.12351
20, us10, 21660, ., ., 8527.9309, 127.54787, 127.54787
21, us10, 22501, ., ., 8590.5406, 124.72969, 124.72969
22, us10, 23314, ., ., 8589.2639, 98.61008, 98.61008
23, us10, 24158, ., ., 8183.6343, 89.760638, 89.760638
24, us10, 24972, ., ., 7789.616, 58.352, 58.352
25, us10, 25706, ., ., 8246.1529, 80.058511, 80.058511
26, us10, 26522, ., ., 8710.6698, 91.494008, 91.494008
27, us10, 27290, ., ., 7821.0385, 92.733068, 92.733068
28, us10, 28019, ., ., 8439.9028, 68.133156, 68.133156
29, us10, 28762, ., ., 7929.4449, 90.501992, 90.501992
30, us10, 29521, ., ., 7459.731, 83.520639, 83.520639
31, us10, 30340, ., ., 8403.3347, 87.10757, 87.10757
32, us10, 31114, ., ., 7755.6733, 60.318725, 60.318725
33, us10, 31848, ., ., 7507.6707, 63.968, 63.968
34, us10, 32654, ., ., 7645.4016, 68.792553, 68.792553
35, us10, 33423, ., ., 7003.8668, 98.588549, 98.588549
36, us10, 34210, ., ., 6915.3191, 78.255319, 78.255319
37, us10, 34963, ., ., 6742.2261, 83.760638, 83.760638
38, us10, 35806, ., ., 6811.1157, 56.585106, 56.585106
39, us10, 36591, ., ., 7316.5817, 55.888446, 55.888446
40, us10, 37374, ., ., 7404.5153, 90.295606, 90.295606
41, us10, 38131, ., ., 7237.4542, 55.266932, 55.266932
42, us10, 38967, ., ., 7079.7987, 49.936, 49.936
43, us10, 39805, ., ., 7170.6799, 35.043825, 35.043825
44, us10, 40636, ., ., 6434.8429, 39.435419, 39.435419
45, us10, 41477, ., ., 7342.9481, 31.148936, 31.148936
46, us10, 42334, ., ., 6987.0904, 40.420213, 40.420213
47, us10, 43208, ., ., 7485.8484, 68.87234, 68.87234
48, us10, 44063, ., ., 6931.0426, 47.920213, 47.920213
49, us10, 44977, ., ., 7172.2021, 30.079787, 30.079787
50, us10, 45900.5, ., ., 6524.6178, 39.163782, 39.163782
51, us10, 46787, ., ., 6492.5299, 9.9601594, 9.9601594
52, us10, 47710, ., ., 6293.3958, 16.223108, 16.223108
53, us10, 48664, ., ., 7177.0839, 19.430093, 19.430093
54, us10, 49651, ., ., 6009.4234, 17.816245, 17.816245
55, us10, 50624, ., ., 5957.9548, 22.691489, 22.691489
56, us10, 51571, ., ., 6265.5564, 7.5219124, 7.5219124
57, us10, 52560, ., ., 5761.9015, 33.107856, 33.107856
58, us10, 53660, ., ., 6267.875, 22.053191, 22.053191
59, us10, 54677, ., ., 6260.9109, 10.164894, 10.164894
60, us10, 55705, ., ., 6070.3475, 5.3368842, 5.3368842
61, us10, 56857, ., ., 5913.5572, 16.43617, 16.43617
62, us10, 57853, ., ., 5849.8777, 12.574468, 12.574468
63, us10, 59031, ., ., 5581.3714, 9.1352785, 9.1352785
64, us10, 60234, ., ., 6436.9213, 6.352, 6.352
65, us10, 61505, ., ., 5535.0984, 9.8457447, 9.8457447
66, us10, 62714, ., ., 5427.6955, 3.7978723, 3.7978723
67, us10, 64027, ., ., 5375.3995, 5.448735, 5.448735
68, us10, 65354, ., ., 5578.3125, 7.9308511, 7.9308511
69, us10, 66602, ., ., 5667.4747, 4.6914894, 4.6914894
70, us10, 67957, ., ., 5023.879, 5.2180851, 5.2180851
71, us10, 69374, ., ., 5435.4867, 6.0638298, 6.0638298
72, us10, 70868, ., ., 5342.4269, 2.6170213, 2.6170213
73, us10, 72296, ., ., 6337.8152, 0, 0
74, us10, 73802, ., ., 5538.887, 0, 0
75, us10, 75433, ., ., 5517.9148, 8.2130493, 8.2130493
76, us10, 76972, ., ., 5752.0359, 6.8617021, 6.8617021
77, us10, 78704, ., ., 5185.3444, 0, 0
78, us10, 80425, ., ., 5336.5798, 0, 0
79, us10, 82241, ., ., 6066.5758, 2.4734043, 2.4734043
80, us10, 83986, ., ., 5021.613, 0, 0
81, us10, 85987, ., ., 5189.8311, 0, 0
82, us10, 87984, ., ., 5330.8697, 0, 0
83, us10, 90014, ., ., 5132.5153, 0, 0
84, us10, 92124, ., ., 4655.384, 0, 0
85, us10, 94417, ., ., 5151.3843, 0, 0
86, us10, 96904, ., ., 4525.4215, 0, 0
87, us10, 99679, ., ., 5268.7314, 2.0744681, 2.0744681
88, us10, 102377, ., ., 5559.5, 46.898936, 46.898936
89, us10, 105714, ., ., 5556.9442, 1.498008, 1.498008
90, us10, 109229, ., ., 5224.4687, 0, 0
91, us10, 112993, ., ., 5469.2806, 2.1861702, 2.1861702
92, us10, 117095, ., ., 5117.0146, 0, 0
93, us10, 122384, ., ., 5782.4375, 0, 0
94, us10, 128715, ., ., 5767.125, 0, 0
95, us10, 136392, ., ., 5787.7819, 0, 0
96, us10, 146837, ., ., 5484.6463, 0, 0
97, us10, 161094, ., ., 4870.5293, 0, 0
98, us10, 182775, ., ., 5940.9508, 0, 0
99, us10, 226317, ., ., 5652.2886, 0, 0
100, us10, ., ., ., 5364.7044, 0, 0