quantile, percentile, hceduc, ccyy
1, 150, 76.056962, fr10
2, 1321, 26.352201, fr10
3, 2591, 44.050955, fr10
4, 3852, 204.5, fr10
5, 4874, 65.746835, fr10
6, 5828, 240.20126, fr10
7, 6810, 44.910828, fr10
8, 7730, 68.196203, fr10
9, 8400, 80.1375, fr10
10, 9042, 74.051282, fr10
11, 9745, 163.41139, fr10
12, 10430, 55.962025, fr10
13, 10962, 55.518987, fr10
14, 11460, 85.246835, fr10
15, 11894, 17.03125, fr10
16, 12360, 117.35897, fr10
17, 12848, 85.259494, fr10
18, 13240, 70.740506, fr10
19, 13722, 75.708861, fr10
20, 14136, 40.265823, fr10
21, 14594, 44.93038, fr10
22, 15000, 41.962264, fr10
23, 15414, 103.36943, fr10
24, 15814, 30.436709, fr10
25, 16296, 25.772152, fr10
26, 16650, 116.03797, fr10
27, 17078, 54.626582, fr10
28, 17530, 73.816456, fr10
29, 17939, 56.765823, fr10
30, 18286, 73.727848, fr10
31, 18702, 47.658228, fr10
32, 19048, 91.144654, fr10
33, 19451, 179.27389, fr10
34, 19892, 26.923567, fr10
35, 20303, 74.06962, fr10
36, 20678, 133.61392, fr10
37, 21098, 46.860759, fr10
38, 21548, 85.386076, fr10
39, 21937, 72.367089, fr10
40, 22379, 75.006329, fr10
41, 22855, 45.468354, fr10
42, 23318, 91.468354, fr10
43, 23844, 34.537975, fr10
44, 24269, 50.708861, fr10
45, 24733, 199.93671, fr10
46, 25181, 31.803797, fr10
47, 25654, 72.531646, fr10
48, 26086, 98.936709, fr10
49, 26540, 54.550633, fr10
50, 27006, 100.12658, fr10
51, 27492, 110.34177, fr10
52, 27996, 238.5443, fr10
53, 28488, 104.73418, fr10
54, 28973, 53.765823, fr10
55, 29480, 116.37107, fr10
56, 29985, 81.452229, fr10
57, 30570, 92.126582, fr10
58, 31152, 108.37342, fr10
59, 31666, 171.58491, fr10
60, 32260, 77.299363, fr10
61, 32786, 75.234177, fr10
62, 33389, 88.088608, fr10
63, 34021, 79.335443, fr10
64, 34651, 58.335443, fr10
65, 35199, 196.2327, fr10
66, 35860, 121.14013, fr10
67, 36516, 194.64968, fr10
68, 37200, 182.89241, fr10
69, 38001, 265.92405, fr10
70, 38668, 98.647799, fr10
71, 39307, 220.11465, fr10
72, 39969, 154.3038, fr10
73, 40688, 192.1962, fr10
74, 41350, 171.03797, fr10
75, 41995, 452.12025, fr10
76, 42753, 274.22152, fr10
77, 43640, 92.563291, fr10
78, 44502, 391.36076, fr10
79, 45184, 112.96203, fr10
80, 46055, 80.240506, fr10
81, 47035, 91.320755, fr10
82, 48202, 114.02548, fr10
83, 49183, 196.40506, fr10
84, 50416, 249.94304, fr10
85, 51603, 311.74214, fr10
86, 52923, 346.79874, fr10
87, 54217, 435.53205, fr10
88, 55682, 196.1519, fr10
89, 57652, 278.46203, fr10
90, 59209, 272.53165, fr10
91, 61200, 270.86076, fr10
92, 63961, 238.28931, fr10
93, 66438, 228.8535, fr10
94, 69394, 825.68987, fr10
95, 73985, 927.27215, fr10
96, 79173, 797.86076, fr10
97, 85362, 510.1962, fr10
98, 96091, 536.51899, fr10
99, 114128, 668.29114, fr10
100, ., 1178.9363, fr10
1, 14316, 4299.0968, il10
2, 20244, 3247.7419, il10
3, 24612, 1390.2581, il10
4, 27144, 3675.541, il10
5, 28908, 656.7619, il10
6, 30480, 1218.5806, il10
7, 33024, 1267.8, il10
8, 35160, 1702.4516, il10
9, 37188, 1917.2903, il10
10, 39404, 843.54098, il10
11, 41345, 923.03226, il10
12, 43164, 1842.5806, il10
13, 45108, 1520.2623, il10
14, 46971, 1263.2903, il10
15, 49237, 1678.8387, il10
16, 51060, 3613.9672, il10
17, 53040, 1684.4516, il10
18, 54778, 1914, il10
19, 56760, 669.83607, il10
20, 59072, 2018.3226, il10
21, 61068, 1018.2581, il10
22, 62796, 2108.0656, il10
23, 65112, 3319.3548, il10
24, 66972, 2218.6452, il10
25, 68842, 3311.0164, il10
26, 70920, 3993.0968, il10
27, 72610, 4867.1613, il10
28, 74771, 4671.871, il10
29, 76593, 2015.6066, il10
30, 78420, 4614.7742, il10
31, 80801, 5879.2258, il10
32, 82464, 4822.623, il10
33, 84577, 4332.9677, il10
34, 86456, 6076.4516, il10
35, 88621, 3837.4426, il10
36, 90600, 4556.5161, il10
37, 92244, 4876.0645, il10
38, 94085, 3663.1475, il10
39, 97465, 4128.3871, il10
40, 99691, 5013.871, il10
41, 102477, 3627.3443, il10
42, 104892, 3252.7742, il10
43, 106767, 4193.6129, il10
44, 108897, 6721.1803, il10
45, 111132, 3264.7742, il10
46, 113348, 5638.8387, il10
47, 115997, 3848.8525, il10
48, 118705, 5358.7742, il10
49, 121104, 5783.4194, il10
50, 123803.5, 5537.9016, il10
51, 125931, 3663.0968, il10
52, 128409, 6978, il10
53, 131160, 3811.5484, il10
54, 133959, 5233.7705, il10
55, 136709, 7793.4194, il10
56, 139265, 5910.5806, il10
57, 142426, 4157.9016, il10
58, 145178, 8932.2581, il10
59, 148333, 4947.0968, il10
60, 151604, 5346.4918, il10
61, 154781, 6127.7419, il10
62, 158270, 6518.129, il10
63, 161313, 4931.8033, il10
64, 164416, 7606.6452, il10
65, 167879, 7667.0323, il10
66, 171128, 6130.623, il10
67, 174578, 4719.4839, il10
68, 177957, 8315.6129, il10
69, 181905, 9192.9677, il10
70, 184582, 8900.8525, il10
71, 188912, 8883.2903, il10
72, 192070, 10394.164, il10
73, 196124, 7122, il10
74, 201268, 8119.5484, il10
75, 205687.5, 6476.2623, il10
76, 210712, 9153.871, il10
77, 215443, 9021.2903, il10
78, 220182, 9679.5484, il10
79, 225171, 7332.1967, il10
80, 229618, 9774, il10
81, 234770, 13097.226, il10
82, 240694, 11170.82, il10
83, 247109, 10234.258, il10
84, 252549, 15463.161, il10
85, 260456, 13627.279, il10
86, 267556, 9399.2903, il10
87, 276681, 9617.0323, il10
88, 284714, 12668.459, il10
89, 292776, 13888.065, il10
90, 302165, 14869.548, il10
91, 314218, 11754.689, il10
92, 327432, 10646.903, il10
93, 342974, 16502.516, il10
94, 360657, 14751.148, il10
95, 380732, 15169.742, il10
96, 406982, 13430.516, il10
97, 443280, 12963.934, il10
98, 495599, 13981.548, il10
99, 580921, 14928, il10
100, ., 20795.607, il10
1, 2154, 5348.722, mx10
2, 7174, 1455.4477, mx10
3, 9860, 850.42754, mx10
4, 12038, 1114.6354, mx10
5, 13863, 1217.4384, mx10
6, 15728, 3151.0899, mx10
7, 17482, 1417.8473, mx10
8, 19048, 1785.6101, mx10
9, 20648, 1679.9529, mx10
10, 22076, 2266.4729, mx10
11, 23612, 1796.2816, mx10
12, 24760, 1748.0797, mx10
13, 26274, 1659.6547, mx10
14, 27871, 1749.7018, mx10
15, 29169, 1768.9458, mx10
16, 30472, 1831.1594, mx10
17, 31798, 2120.5668, mx10
18, 32988, 1991.5054, mx10
19, 34154, 2237.971, mx10
20, 35589.5, 2124.5978, mx10
21, 36719, 2669.6895, mx10
22, 38181, 2730.4874, mx10
23, 39405, 2354.509, mx10
24, 40671, 2317.8442, mx10
25, 41901, 2421.3297, mx10
26, 43312, 2830.6101, mx10
27, 44552, 2552.7826, mx10
28, 45773, 2445.8087, mx10
29, 47084, 2536.3986, mx10
30, 48358, 3224.6101, mx10
31, 49603, 3041.5284, mx10
32, 50818, 3788.8081, mx10
33, 52124, 2998.1505, mx10
34, 53537, 3821.9891, mx10
35, 54929, 2764.4693, mx10
36, 56353, 3594.442, mx10
37, 57757, 3075.5179, mx10
38, 59028, 3316.5971, mx10
39, 60321, 3787.3357, mx10
40, 61702, 5014.6691, mx10
41, 63154, 4332.3309, mx10
42, 64575, 4521, mx10
43, 66082, 3979.32, mx10
44, 67684, 4201.5668, mx10
45, 69352, 4372.9711, mx10
46, 70836, 4519.6196, mx10
47, 72401, 5708.8989, mx10
48, 73800, 5624.705, mx10
49, 75435, 5683.3467, mx10
50, 77120, 5850.4079, mx10
51, 78640, 5264.9173, mx10
52, 80471, 6412.5964, mx10
53, 82168, 5422.3069, mx10
54, 83991, 5197.2246, mx10
55, 85829, 5651.6426, mx10
56, 87814, 4557.917, mx10
57, 89641, 5600.1522, mx10
58, 91593, 5504.4384, mx10
59, 93529, 5466.3935, mx10
60, 95856, 6266.5906, mx10
61, 97532, 5718.4188, mx10
62, 99776, 6465.2708, mx10
63, 102232, 5432.0325, mx10
64, 104540, 7377.0761, mx10
65, 107090, 7365.7572, mx10
66, 109208, 6187.509, mx10
67, 111904, 9293.6667, mx10
68, 114555, 7082.5766, mx10
69, 117536, 7643.7862, mx10
70, 120326, 7858.6806, mx10
71, 123085, 6375.1391, mx10
72, 126143, 7703.4891, mx10
73, 129453, 9544.121, mx10
74, 133082, 7958.3636, mx10
75, 136824, 9149.7993, mx10
76, 141148, 12452.779, mx10
77, 145181, 11374, mx10
78, 149589, 8943.9004, mx10
79, 153851, 9323.4767, mx10
80, 158499.5, 13663.92, mx10
81, 163443, 9509.8669, mx10
82, 168974, 12529.707, mx10
83, 175877, 12667.058, mx10
84, 182081, 14323.065, mx10
85, 189078, 13430.996, mx10
86, 196321, 13845.473, mx10
87, 204806, 12931.964, mx10
88, 213536, 13869.029, mx10
89, 223659, 16250.13, mx10
90, 233915, 17708.632, mx10
91, 247009, 16273.585, mx10
92, 261930, 18615.116, mx10
93, 282527, 22900.679, mx10
94, 302561, 19780.953, mx10
95, 330336, 21471.762, mx10
96, 367211, 32910.641, mx10
97, 414122, 35195.256, mx10
98, 490332, 36878.283, mx10
99, 643827, 41051.238, mx10
100, ., 68086.721, mx10
1, -91, 529.35681, pe10
2, 94, 547.05634, pe10
3, 290, 186.98104, pe10
4, 496, 122.49065, pe10
5, 674, 180.15166, pe10
6, 884, 185.85514, pe10
7, 1115, 153.46667, pe10
8, 1311, 236.13023, pe10
9, 1513, 155.5, pe10
10, 1715, 275.90476, pe10
11, 1909, 177.47887, pe10
12, 2139, 271.98113, pe10
13, 2370, 279.3972, pe10
14, 2573, 228.19431, pe10
15, 2784, 300.18396, pe10
16, 3018, 426.60849, pe10
17, 3251, 337.13208, pe10
18, 3507, 326.4554, pe10
19, 3756, 301.44131, pe10
20, 3999, 370.56808, pe10
21, 4232, 319.3128, pe10
22, 4497, 363.84906, pe10
23, 4764, 314.74178, pe10
24, 5013, 441.82075, pe10
25, 5264.5, 393.41232, pe10
26, 5515, 369.11737, pe10
27, 5812, 434.23113, pe10
28, 6102, 381.46226, pe10
29, 6386, 333.10748, pe10
30, 6681, 505.81043, pe10
31, 7013, 489.75943, pe10
32, 7292, 604.40654, pe10
33, 7572, 494.24171, pe10
34, 7870, 546.44393, pe10
35, 8176, 499.29384, pe10
36, 8455, 586.49528, pe10
37, 8783, 568.22642, pe10
38, 9065, 579.25, pe10
39, 9418, 653.46226, pe10
40, 9684, 491.46512, pe10
41, 10004, 620.4455, pe10
42, 10293, 585.87736, pe10
43, 10602, 581.88263, pe10
44, 10926, 580.79245, pe10
45, 11225, 642.32547, pe10
46, 11574, 718.18009, pe10
47, 11927, 782.55607, pe10
48, 12303, 751.14151, pe10
49, 12607, 841.58294, pe10
50, 12918, 627.35047, pe10
51, 13272, 757.78774, pe10
52, 13578, 718.02844, pe10
53, 13946, 909.70561, pe10
54, 14274, 987.64929, pe10
55, 14657, 888.75472, pe10
56, 15048, 857.34434, pe10
57, 15465, 985.69014, pe10
58, 15825, 832.57547, pe10
59, 16228, 970.34906, pe10
60, 16673, 1001.9014, pe10
61, 17184, 1052.6934, pe10
62, 17664, 1053.8019, pe10
63, 18132, 1125.4198, pe10
64, 18564, 1002.5377, pe10
65, 19067, 1141.9812, pe10
66, 19555, 1104.9906, pe10
67, 20103, 1200.1745, pe10
68, 20589, 1634.385, pe10
69, 21115, 1205.3491, pe10
70, 21622, 1208.4198, pe10
71, 22192, 1054.662, pe10
72, 22793, 1254.184, pe10
73, 23427, 1189.7887, pe10
74, 24015, 1306.6066, pe10
75, 24689.5, 1348.8208, pe10
76, 25358, 1627.2911, pe10
77, 26002, 1562.5399, pe10
78, 26971, 1469.218, pe10
79, 27819, 1651.1502, pe10
80, 28716, 1779.6321, pe10
81, 29663, 1611.0236, pe10
82, 30595, 1578.3538, pe10
83, 31762, 1682.8357, pe10
84, 32897, 1846.9811, pe10
85, 34082, 1693.5047, pe10
86, 35428, 1782.6197, pe10
87, 36752, 2050.9245, pe10
88, 38296, 2345.3821, pe10
89, 39939, 2535.6651, pe10
90, 42000, 2056.4813, pe10
91, 44153, 2718.6114, pe10
92, 46421, 2485.2406, pe10
93, 49186, 2903.4085, pe10
94, 52194, 2651.0094, pe10
95, 56357, 3161.2877, pe10
96, 62213, 3057.7075, pe10
97, 69358, 3632.23, pe10
98, 80549, 4084.4009, pe10
99, 103403, 4215.1321, pe10
100, ., 6578.2311, pe10
1, 4963, 7139.1304, rs10
2, 60000, 2666.6667, rs10
3, 86318, 68.292683, rs10
4, 100800, 2382.9787, rs10
5, 114000, 0, rs10
6, 124800, 3134.8837, rs10
7, 133471, 88.888889, rs10
8, 144000, 15.151515, rs10
9, 148934, 0, rs10
10, 156132, 86.956522, rs10
11, 166578, 62.222222, rs10
12, 175870, 0, rs10
13, 180000, 442.59259, rs10
14, 188076, 10.526316, rs10
15, 192000, 652.17391, rs10
16, 199129, 35.555556, rs10
17, 204000, 0, rs10
18, 214400, 46.511628, rs10
19, 216000, 0, rs10
20, 224104, 409.09091, rs10
21, 233572, 104.34783, rs10
22, 240000, 1828.2828, rs10
23, 240000, ., rs10
24, 247200, 3368.4211, rs10
25, 252000, 782.6087, rs10
26, 262008, 695.65217, rs10
27, 264000, 0, rs10
28, 270524, 0, rs10
29, 278400, 110.6383, rs10
30, 285738, 1706.6667, rs10
31, 292506, 608.69565, rs10
32, 300000, 1905.8824, rs10
33, 301811, 400, rs10
34, 312000, 237.28814, rs10
35, 321791, 0, rs10
36, 332780, 2608.6957, rs10
37, 342000, 622.22222, rs10
38, 351831, 1607.8261, rs10
39, 360000, 3872.1649, rs10
40, 360000, ., rs10
41, 368008, 1151.2195, rs10
42, 375828, 608.69565, rs10
43, 384000, 5508.1967, rs10
44, 389382, 0, rs10
45, 397680, 1874.7826, rs10
46, 408000, 2573.5849, rs10
47, 416143, 19487.179, rs10
48, 422433, 7813.3333, rs10
49, 432000, 4606.7797, rs10
50, 442308, 884.84848, rs10
51, 454792, 2539.1304, rs10
52, 457176, 2608.6957, rs10
53, 468000, 227.58621, rs10
54, 478073, 848.48485, rs10
55, 480000, 3000, rs10
56, 486000, 428.57143, rs10
57, 494400, 952.38095, rs10
58, 504000, 1726.3158, rs10
59, 513000, 6799.4118, rs10
60, 528000, 7292.3077, rs10
61, 534680, 4444.4444, rs10
62, 540000, 1142.8571, rs10
63, 552000, 1132.0755, rs10
64, 564000, 1526.3158, rs10
65, 576000, 9703.7037, rs10
66, 588000, 914.28571, rs10
67, 600000, 7166.0274, rs10
68, 609600, 6590.4762, rs10
69, 623271, 5106.9767, rs10
70, 631314, 11391.304, rs10
71, 645600, 3868.0851, rs10
72, 660000, 5330.5556, rs10
73, 672000, 18786.667, rs10
74, 685183, 7647.0588, rs10
75, 701959, 7565.2174, rs10
76, 719680, 13869.565, rs10
77, 724964, 16852.174, rs10
78, 742611, 10106.087, rs10
79, 754400, 4711.1111, rs10
80, 768000, 7429.1667, rs10
81, 781946, 2909.0909, rs10
82, 804000, 3804.1667, rs10
83, 828000, 5460.8696, rs10
84, 848851, 24863.636, rs10
85, 878111, 10400, rs10
86, 900000, 6528.3019, rs10
87, 923046, 10307.692, rs10
88, 954240, 4400, rs10
89, 972000, 13970.213, rs10
90, 1012800, 11045.455, rs10
91, 1044000, 8489.7959, rs10
92, 1083236, 15227.907, rs10
93, 1140000, 12571.429, rs10
94, 1200000, 7666.6667, rs10
95, 1245240, 8164.7059, rs10
96, 1322275, 3478.2609, rs10
97, 1440000, 22525.926, rs10
98, 1566863, 10157.895, rs10
99, 1902000, 6973.913, rs10
100, ., 21955.556, rs10
1, 1641, 2.675, si10
2, 2824, 92.717949, si10
3, 4010, 2.8974359, si10
4, 4978, 17.589744, si10
5, 5686, .8, si10
6, 6113, 0, si10
7, 6540, 13.615385, si10
8, 6966, 19.205128, si10
9, 7574, 0, si10
10, 7906, 19.974359, si10
11, 8478, 64.538462, si10
12, 8810, 8.9487179, si10
13, 9208, 0, si10
14, 9618, 0, si10
15, 10001, 112.79487, si10
16, 10329, 55.923077, si10
17, 10824, 96.425, si10
18, 11223, 23.512821, si10
19, 11547, 39.948718, si10
20, 11913, 27.769231, si10
21, 12257, 69.85, si10
22, 12617, 39.25641, si10
23, 12953, 71.717949, si10
24, 13308, 60.179487, si10
25, 13552.5, 81.769231, si10
26, 13959, 45.15, si10
27, 14254, 59.307692, si10
28, 14614, 91.512821, si10
29, 14869, 39.205128, si10
30, 15181, 46.926829, si10
31, 15530, 53.657895, si10
32, 15758, 77.307692, si10
33, 16005, 155.69231, si10
34, 16254, 106.475, si10
35, 16647, 28.025641, si10
36, 16946, 34.333333, si10
37, 17275, 259.38462, si10
38, 17585, 122.225, si10
39, 17899, 143.76923, si10
40, 18203, 81.512821, si10
41, 18450, 119.51282, si10
42, 18784, 29.325, si10
43, 19107, 285.76923, si10
44, 19425, 134.28205, si10
45, 19708, 97.15, si10
46, 19999, 149.74359, si10
47, 20309, 168.58974, si10
48, 20622, 126.30769, si10
49, 20987, 110.23077, si10
50, 21302, 327.12821, si10
51, 21602, 121.15, si10
52, 21898, 163.94872, si10
53, 22282, 121.12821, si10
54, 22513, 120.94872, si10
55, 22834, 92.125, si10
56, 23104, 104.66667, si10
57, 23465, 397.84615, si10
58, 23768, 234.4359, si10
59, 24094, 236.85, si10
60, 24402, 168.02564, si10
61, 24821, 329.28205, si10
62, 25198, 383.30769, si10
63, 25693, 143.825, si10
64, 26005, 150.4359, si10
65, 26351, 332.10256, si10
66, 26739, 370.76923, si10
67, 27154, 178, si10
68, 27525, 396.79487, si10
69, 27912, 311.58974, si10
70, 28294, 240.20513, si10
71, 28832, 229.825, si10
72, 29186, 246.41026, si10
73, 29684, 306.4359, si10
74, 30098, 544.69231, si10
75, 30612, 436.79487, si10
76, 31019, 426.35, si10
77, 31435, 221.51282, si10
78, 31940, 224.71795, si10
79, 32439, 341.89744, si10
80, 33035, 608.875, si10
81, 33731, 254.46154, si10
82, 34383, 426.15385, si10
83, 34954, 545.25641, si10
84, 35572, 146.025, si10
85, 36141, 357.30769, si10
86, 36624, 459.69231, si10
87, 37280, 621.15385, si10
88, 38222, 246.275, si10
89, 39075, 413.87179, si10
90, 40091, 361.64103, si10
91, 41221, 260.64103, si10
92, 42322, 452.2, si10
93, 43351, 258.66667, si10
94, 44642, 315.74359, si10
95, 46834, 114.30769, si10
96, 49338, 439.75, si10
97, 52254, 340.64103, si10
98, 56823, 629, si10
99, 63622, 439.71795, si10
100, ., 483.41026, si10
1, 2274, 1259.2593, au10
2, 9858, 178.90323, au10
3, 13143, 57.990654, au10
4, 15163, 141.27103, au10
5, 16115, 69.179245, au10
6, 16898, 111.41905, au10
7, 17315, 70.853081, au10
8, 17367, 27.2, au10
9, 17842, 141.72321, au10
10, 18045, 25.612745, au10
11, 18149, 1.04, au10
12, 18563, 8.4033613, au10
13, 19135, 90.188976, au10
14, 19782, 65.292035, au10
15, 20447, 481.34167, au10
16, 21225, 13.864865, au10
17, 22164, 252.42105, au10
18, 23182, 118.35294, au10
19, 24041, 297.04, au10
20, 24874, 317.50459, au10
21, 25943, 314.79487, au10
22, 26249, 70.92126, au10
23, 26791, 197.05983, au10
24, 27156, 72.320896, au10
25, 27739.5, 41.090909, au10
26, 28376, 185.67769, au10
27, 28915, 356.53782, au10
28, 29487, 86.752137, au10
29, 30180, 42.015748, au10
30, 30900, 187.82727, au10
31, 31493, 522.29204, au10
32, 32161, 360.51351, au10
33, 32839, 165.49565, au10
34, 33665, 414.47573, au10
35, 34575, 394.9505, au10
36, 35234, 445.23232, au10
37, 36071, 161.25225, au10
38, 36903, 482.71296, au10
39, 37798, 236.31818, au10
40, 38715, 1072.0826, au10
41, 39543, 1077.6273, au10
42, 40355, 205.37234, au10
43, 41223, 1344.1828, au10
44, 42120, 453.61458, au10
45, 43111, 618.93333, au10
46, 44267, 360.10577, au10
47, 45341, 279.7, au10
48, 46204, 742.72727, au10
49, 47306, 376.75789, au10
50, 48375, 212.86905, au10
51, 49492, 1329.3372, au10
52, 50671, 270.37805, au10
53, 51878, 2126.5395, au10
54, 53256, 1443.7528, au10
55, 54481, 1225.1264, au10
56, 55903, 543.4433, au10
57, 57236, 1311.7831, au10
58, 58691, 1421.425, au10
59, 60222, 1117.1932, au10
60, 61612, 686.91398, au10
61, 63087, 632.08, au10
62, 64366, 1251.8333, au10
63, 65705, 1426.2376, au10
64, 67141, 1285.5111, au10
65, 68861, 1355.5556, au10
66, 70227, 1539.7126, au10
67, 71976, 2756.2561, au10
68, 73653, 1296.9315, au10
69, 75300, 1045.5506, au10
70, 77063, 2014.1348, au10
71, 78534, 1972.9787, au10
72, 80136, 1078.2326, au10
73, 82114, 1230.9054, au10
74, 83937, 1719.9872, au10
75, 85766.5, 1459.039, au10
76, 87618, 2034.3974, au10
77, 89316, 3188.6615, au10
78, 91108, 1255.4483, au10
79, 93233, 1538.131, au10
80, 95580, 2203.011, au10
81, 97836, 3279.2469, au10
82, 99989, 1326.95, au10
83, 102695, 1557.9157, au10
84, 105453, 1826.8902, au10
85, 108006, 2037, au10
86, 111134, 7386.6404, au10
87, 114372, 2877.8375, au10
88, 118473, 1797.2051, au10
89, 122470, 4479.6479, au10
90, 126815, 3229.4382, au10
91, 132239, 2649.1889, au10
92, 137475, 3803.1687, au10
93, 142826, 2260.4167, au10
94, 150186, 4586.4396, au10
95, 158557, 3310.2048, au10
96, 168410, 4456.5281, au10
97, 184558, 2944.5402, au10
98, 207634, 4304.3918, au10
99, 256992, 4148.8846, au10
100, ., 19128.93, au10